MJD,date,state,r_x,r_y,r_z,v_x,v_y,v_z,v_inf_x,v_inf_y,v_inf_z,dv_x,dv_y,dv_z
6.0691238737435997e+04,2025-01-15,Deep Space,7.2658267094135365e-01,2.1449478823769907e+00,1.2987353885749314e-02,-1.1262165108662284e+01,2.2700960483446622e+01,6.9068827682618864e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0696188162295875e+04,2025-01-20,Deep Space,6.9417093911874728e-01,2.2091782671323719e+00,1.3180806511904251e-02,-1.1412209841448629e+01,2.2241316756532179e+01,6.6306157021510256e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0701137587155754e+04,2025-01-25,Deep Space,6.6135359513052072e-01,2.2721188773838215e+00,1.3366562629944036e-02,-1.1546233423391890e+01,2.1798425054282895e+01,6.3682249856565759e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0706087012015640e+04,2025-01-30,Deep Space,6.2817414445744835e-01,2.3338164772314403e+00,1.3545005208944345e-02,-1.1665808213759895e+01,2.1371504049887886e+01,6.1187656957187524e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0711036436875518e+04,2025-02-04,Deep Space,5.9467185186504379e-01,2.3943156319020371e+00,1.3716491290345235e-02,-1.1772332694194475e+01,2.0959797355549561e+01,5.8813676998004383e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0715985861735397e+04,2025-02-09,Deep Space,5.6088220743346062e-01,2.4536587846220659e+00,1.3881354040975727e-02,-1.1867052672668150e+01,2.0562577152717381e+01,5.6552297594338975e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0720935286595275e+04,2025-02-14,Deep Space,5.2683733598435589e-01,2.5118863417060786e+00,1.4039904641545886e-02,-1.1951079745177934e+01,2.0179146379946413e+01,5.4396139261859267e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0725884711455161e+04,2025-02-19,Deep Space,4.9256635722524822e-01,2.5690367622889032e+00,1.4192434019759245e-02,-1.2025407370828658e+01,1.9808839847706629e+01,5.2338402801958769e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0730834136315039e+04,2025-02-24,Deep Space,4.5809570297452062e-01,2.6251466500561973e+00,1.4339214438221141e-02,-1.2090924874793977e+01,1.9451024562766950e+01,5.0372820343942935e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0735783561174918e+04,2025-03-01,Deep Space,4.2344939698729667e-01,2.6802508450363298e+00,1.4480500947700032e-02,-1.2148429654920811e+01,1.9105099477987263e+01,4.8493610092042991e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0740732986034796e+04,2025-03-06,Deep Space,3.8864930216559412e-01,2.7343825140567590e+00,1.4616532716250885e-02,-1.2198637832341962e+01,1.8770494831936006e+01,4.6695434704540011e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0745682410894682e+04,2025-03-11,Deep Space,3.5371533929530530e-01,2.7875732388791516e+00,1.4747534244384042e-02,-1.2242193554712529e+01,1.8446671203193372e+01,4.4973363155673740e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0750631835754561e+04,2025-03-16,Deep Space,3.1866568089725145e-01,2.8398531013389210e+00,1.4873716475964277e-02,-1.2279677132591189e+01,1.8133118373783685e+01,4.3322835885389127e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0755581260614439e+04,2025-03-21,Deep Space,2.8351692329950495e-01,2.8912507650500672e+00,1.4995277813929328e-02,-1.2311612164863911e+01,1.7829354072805994e+01,4.1739633017861370e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
